[2024-08-20 13:33:24,178: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-20 13:33:24,184: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-20 13:33:44,513: INFO: 2771052960: Initializing ConfigurationManager]
[2024-08-20 13:33:44,518: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-20 13:33:44,522: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-20 13:33:44,529: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-20 13:33:44,533: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-20 13:33:44,537: INFO: common: created directory at: artifacts]
[2024-08-20 13:33:44,539: INFO: 2771052960: Retrieving data ingestion configuration]
[2024-08-20 13:33:44,544: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-20 13:33:44,546: ERROR: 2771052960: Error in the pipeline execution: DataIngestionConfig.__init__() got an unexpected keyword argument 'source_URL']
[2024-08-20 13:38:21,368: INFO: 2771052960: Initializing ConfigurationManager]
[2024-08-20 13:38:21,372: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-20 13:38:21,378: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-20 13:38:21,382: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-20 13:38:21,387: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-20 13:38:21,389: INFO: common: created directory at: artifacts]
[2024-08-20 13:38:21,391: INFO: 2771052960: Retrieving data ingestion configuration]
[2024-08-20 13:38:21,395: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-20 13:38:21,397: ERROR: 2771052960: Error in the pipeline execution: DataIngestionConfig.__init__() got an unexpected keyword argument 'source_URL']
[2024-08-20 13:43:58,775: INFO: 2771052960: Initializing ConfigurationManager]
[2024-08-20 13:43:58,784: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-20 13:43:58,788: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-20 13:43:58,793: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-20 13:43:58,798: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-20 13:43:58,802: INFO: common: created directory at: artifacts]
[2024-08-20 13:43:58,803: INFO: 2771052960: Retrieving data ingestion configuration]
[2024-08-20 13:43:58,805: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-20 13:43:58,807: ERROR: 2771052960: Error in the pipeline execution: DataIngestionConfig.__init__() got an unexpected keyword argument 'source_URL']
[2024-08-20 13:53:16,828: INFO: 2771052960: Initializing ConfigurationManager]
[2024-08-20 13:53:16,832: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-20 13:53:16,836: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-20 13:53:16,841: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-20 13:53:16,844: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-20 13:53:16,846: INFO: common: created directory at: artifacts]
[2024-08-20 13:53:16,847: INFO: 2771052960: Retrieving data ingestion configuration]
[2024-08-20 13:53:16,849: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-20 13:53:16,850: ERROR: 2771052960: Attribute error: "'class_dirs'"]
[2024-08-20 16:47:45,624: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-20 16:49:21,964: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-20 16:49:21,970: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-20 16:50:04,781: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-20 16:51:41,848: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-20 16:52:28,394: INFO: 2771052960: Initializing ConfigurationManager]
[2024-08-20 16:52:28,400: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-20 16:52:28,403: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-20 16:52:28,409: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-20 16:52:28,412: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-20 16:52:28,414: INFO: common: created directory at: artifacts]
[2024-08-20 16:52:28,416: INFO: 2771052960: Retrieving data ingestion configuration]
[2024-08-20 16:52:28,418: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-20 16:52:28,420: ERROR: 2771052960: Error in the pipeline execution: DataIngestionConfig.__init__() got an unexpected keyword argument 'class_dirs']
[2024-08-20 16:52:50,843: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-20 16:54:31,805: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-20 16:54:31,812: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-20 16:54:36,084: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-20 16:55:03,573: INFO: 2771052960: Initializing ConfigurationManager]
[2024-08-20 16:55:03,579: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-20 16:55:03,585: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-20 16:55:03,592: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-20 16:55:03,597: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-20 16:55:03,599: INFO: common: created directory at: artifacts]
[2024-08-20 16:55:03,601: INFO: 2771052960: Retrieving data ingestion configuration]
[2024-08-20 16:55:03,605: INFO: common: created directory at: artifacts/data_ingestion]
